Fruit Type ,Quantity ,Imperial (oz or lb.) ,Metric (g or kg)  
Apple,1 ,6.8 oz ,195 g
Apricot,1 ,1.2 oz ,35 g
Banana,1 ,4.2 oz,120 g
Blackberry,1 ,0.09 oz,2.45 g
Blueberry,1 ,0.02 oz,0.5 g
Cherry,1 (with pit),0.18 oz,5 g
Durian,,,
Fig,1,1.76 oz,50 g
Gooseberry,,,
Grapes,1 ,0.18 oz,5 g
GreenApple,1 ,6.8 oz ,195 g
Guava,1 ,7 oz,200 g 
Kiwi,1 ,2.65 oz ,75 g
Lemon,1 ,3.5 oz ,100 g 
Lime,1 ,1.7 oz,50 g 
Lingonberry,,,
Lychee,,,
Mango,1 ,7 oz ,200 g 
Melon,1 ,4 lbs.,1.8 kg
Orange,1 ,4.6 oz,130 g
Papaya,1 ,1 lb.,450 g
Passionfruit,,,
Pear,1 ,6.3 oz,180 g
Persimmon,,,
Pineapple,1,3.5 lbs. ,1.59 kg
Plum,1 ,2.3 oz,65 g
Raspberry,1 ,0.18 oz,5 g
Strawberry,1 ,0.4 oz,12 g
Tomato,,,
Umbu,,,
Watermelon,1 ,20 lbs. ,9 kg
,,,
Coconut ,1 ,1.5 lbs.,680 g
Cranberry,1 ,0.04 oz,1.13 g 
Grapefruit,1,8.7 oz,246 g
Pomegranate ,1 ,9 oz ,255 g
Pumpkin,1 ,10 lbs. ,4.5 kg
Nectarine ,1 ,5.3 oz ,150 g
Peach ,1,5.3 oz,150 g
Jackfruit (Durian),1,15 lbs. ,6.8 kg
Avocado ,1 ,6 oz,170 g
